"","STATE","pop1990","pop1980","pop1970","pop1960","pop1950","pop1940","pop1930","pop1920","pop1910","pop1900","pop1890","pop1880","pop1870","pop1860","pop1850","pop1840","pop1830","pop1820","pop1810","pop1800","pop1790","STATEID","pop2000","pop2010","pop1890per","pop1880per","pop1870per","pop1860per","pop1850per","pop1840per","pop1830per","pop1820per","pop1810per","pop1800per","pop1790per","pop1900per","pop1910per","pop1920per","pop1930per","pop1940per","pop1950per","pop1960per","pop1970per","pop1980per","pop1990per","pop2000per","pop2010per"
"25","Mississippi",2573216,2520638,2216912,2178141,2178914,2183796,2009821,1790618,1797114,1551270,1289600,1131597,827922,791305,606526,375651,136621,75448,31306,7600,NA,"28",2844658,2967297,0.0204764177751947,0.0225466195332945,0.0214719133233092,0.0251660758098675,0.0261525199600067,0.0220150752316968,0.0106231370573706,0.00782781220181288,0.00432410422215503,0.00143167078052242,NA,0.0203546236868632,0.019485452739032,0.0168891911084066,0.016313134694274,0.0165233089058838,0.0143988270922583,0.0121464556937496,0.01090935971937,0.0111263945055173,0.0103462559365305,0.0101081612317699,0.00961081743633166
"26","Missouri",5117073,4916686,4676501,4319813,3954653,3784664,3629367,3404055,3293335,3106665,2679185,2168380,1721295,1182012,682044,383702,140455,66586,19783,NA,NA,"29",5595211,5988927,0.0425404089307032,0.0432041078790463,0.0446412790623338,0.0375918307102485,0.0294087464075782,0.0224869051235124,0.0109212545318288,0.00690837004652095,0.00273250347623117,NA,NA,0.040763372589007,0.0357084322398578,0.0321072028978414,0.0294585202990482,0.0286359954762157,0.0261333695395414,0.0240895411315353,0.0230129259244361,0.0217028340030397,0.0205744667000011,0.0198819312950002,0.0193976147438283
"27","Montana",799065,786690,694409,674767,591024,559456,537606,548889,376053,243329,142924,39159,20595,NA,NA,NA,NA,NA,NA,NA,NA,"30",902195,989415,0.00226936378264727,0.000780227478779353,0.000534125261671454,NA,NA,NA,NA,NA,NA,NA,NA,0.00319278412339615,0.00407740575103816,0.00517714622454492,0.00436359212608978,0.00423302556981062,0.00390563940723445,0.00376285441075868,0.00341716656924948,0.0034725427822422,0.00321283988593408,0.00320584496361133,0.00320462930868332
"28","Nebraska",1578385,1569825,1483493,1411330,1325510,1315834,1377963,1296372,1192214,1066300,1062656,452402,122993,28841,NA,NA,NA,NA,NA,NA,NA,"31",1711263,1826341,0.0168729747265177,0.00901392966763035,0.00318978724490202,0.000917237717987868,NA,NA,NA,NA,NA,NA,NA,0.013991204134227,0.0129267422944856,0.0122274401662372,0.0111845263945028,0.00995602686829025,0.00875931280402037,0.00787031570236251,0.00730022607039313,0.00692939337367117,0.00634629008073194,0.00608077396789431,0.00591535998165583
"29","Nevada",1201833,800493,488738,285278,160083,110247,91058,77407,81875,42335,47355,62266,42941,6857,NA,NA,NA,NA,NA,NA,NA,"32",1998257,2700551,0.00075190816047173,0.00124062525073866,0.00111366219283486,0.000218074929171763,NA,NA,NA,NA,NA,NA,NA,0.000555488724582668,0.000887740812774395,0.000730106374518981,0.000739091401170157,0.000834164563423954,0.00105786985507917,0.00159085963094285,0.0024050655373445,0.00353347085813397,0.00483226896263985,0.00710057375561944,0.00874685029456199
"30","New Hampshire",1109252,920610,737681,606921,533242,491524,465293,443083,430572,411588,376530,346991,318300,326073,317976,284574,269328,244161,214460,183858,141885,"33",1235786,1316470,0.00597858683692156,0.00691365747565378,0.00825501678999873,0.0103701832258749,0.0137106631649807,0.0166774959177132,0.0209419361400334,0.0253319697673475,0.0296220338428215,0.0346347534691173,0.0361102754902125,0.00540055493500723,0.00466853541664607,0.00417917917941522,0.00377664845839647,0.00371903002233526,0.00352380101111378,0.00338450955934725,0.00363010682749004,0.00406368151464998,0.00446002398947789,0.00439122176935295,0.00426393206693079
"31","New Jersey",7730188,7364823,7168164,6066782,4835329,4160165,4041334,3155900,2537167,1883669,1444933,1131116,906096,672035,489555,373306,320823,277575,245562,211149,184139,"34",8414350,8791894,0.0229428130933354,0.0225370357998669,0.0234993329982742,0.0213729014183966,0.0211089003752866,0.0218776462047055,0.0249459943943962,0.0287987086724394,0.0339179608062619,0.0397757702153327,0.0468640801951739,0.0247161188223907,0.027509577950832,0.0297665935554207,0.0328023370671066,0.0314771578455342,0.0319531042552308,0.0338315557930535,0.0352743273541928,0.0325092005124527,0.0310811465051892,0.0298994137293633,0.0284761815731892
"32","New Mexico",1515069,1302894,1016000,951023,681187,531818,423317,360350,327301,195310,160282,119565,91874,87034,61547,NA,NA,NA,NA,NA,NA,"35",1819046,2059179,0.00254497611185154,0.0023822850047308,0.00238272514157821,0.00276796461798676,0.00265381722461779,NA,NA,NA,NA,NA,NA,0.00256271413247291,0.00354880556655722,0.00339883772860226,0.00343594142929943,0.004023907496721,0.00450145982379026,0.00530340264162733,0.00499970656249771,0.00575112834245596,0.00609171233021377,0.00646376831802141,0.0066695020544718
"33","New York",17990455,17558072,18236967,16782304,14830192,13479142,12588066,10385227,9113614,7268894,6003174,5082871,4382759,3880735,3097394,2428921,1918608,1372812,959049,589051,340120,"36",18976457,19378102,0.0953190902614659,0.101274180272496,0.113665564346585,0.123420010246373,0.133555129390999,0.142347228003781,0.149183769284134,0.142430740700816,0.132467508789164,0.110964092754936,0.0865618416304126,0.0953770794186041,0.0988155981639341,0.0979539374155649,0.10217368422283,0.101987560675206,0.0980017432321751,0.0935869220473037,0.0897435862105849,0.0775034081959717,0.0723351058926398,0.0674306320702696,0.0627639904548191
"34","North Carolina",6628637,5881766,5082059,4556155,4061929,3571623,3170276,2559123,2206287,1893810,1617949,1399750,1071361,992622,869039,753419,737987,638829,556526,478103,393751,"37",8049313,9535483,0.0256899811282246,0.0278894612584948,0.0277854321179699,0.0315686119796315,0.0374716991415442,0.044154217521023,0.0573831039705298,0.066279204764499,0.0768694955069013,0.0900639598921198,0.100211136374858,0.0248491815637629,0.0239219665904559,0.0241377655183399,0.0257322116775695,0.0270240581649383,0.0268422770848365,0.0254075079810515,0.0250086650918313,0.0259628113617023,0.0266520863045915,0.0286022972213115,0.0308846018043506
"35","North Dakota",638800,652717,617761,632446,619636,641935,680845,646872,577056,319146,190983,36909,2405,NA,NA,NA,NA,NA,NA,NA,NA,"38",642200,672591,0.00303245013644541,0.000735397124907866,6.23729669492521e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.00418759901962112,0.00625680809106981,0.00610132637484778,0.00552622158437145,0.00485708843797614,0.00409471490115651,0.00352685033599255,0.00303998398204247,0.0028811701015607,0.00256845453015048,0.00228198298109743,0.00217846387143577
"36","Ohio",10847115,10797630,10652017,9706397,7946627,6907612,6646697,5759394,4767121,4157545,3672329,3198062,2665260,2339511,1980329,1519467,937903,581434,230760,42159,NA,"39",11353140,11536504,0.0583096640911622,0.0637201116279796,0.0691227334266793,0.0744040681962316,0.0853889094612268,0.0890485592134207,0.0729278230690673,0.0603244109817208,0.0318734520636458,0.00794181689947957,NA,0.054552246827567,0.0516881572046887,0.0543228683809781,0.0539493136120218,0.0522652330519838,0.052513365896805,0.0541279564116573,0.0524182670263162,0.0476620169594401,0.0436135279599455,0.0403420620710315,0.0373657351446485
"37","Oklahoma",3145585,3025290,2559229,2328284,2233351,2336434,2396040,2028283,1657155,790391,258657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40",3450654,3751351,0.00410698572617752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0103709292195965,0.0179679282637332,0.01913085828967,0.0194479624070344,0.0176782175259089,0.0147585608634953,0.0129837317457713,0.0125938917581048,0.0133539881702952,0.0126476080826916,0.0122614975111426,0.0121503002903316
"38","Oregon",2842321,2633105,2091385,1768687,1521341,1089684,953786,783389,672765,413536,317704,174768,90923,52465,12093,NA,NA,NA,NA,NA,NA,"41",3421399,3831074,0.00504454081331455,0.00348218279351643,0.00235806123656002,0.00166855784730881,0.000521432591309129,NA,NA,NA,NA,NA,NA,0.00542611515788397,0.00729454592862492,0.00738896098063547,0.00774160459439565,0.0082449026107746,0.0100534146861066,0.00986312561106505,0.0102916449893792,0.0116228371564859,0.011428259625222,0.0121575432724132,0.0124085161677705
"39","Pennsylvania",11881643,11863895,11793909,11319366,10498012,9900180,9631350,8720017,7665111,6302115,5258113,4282891,3521951,2906215,2311786,1724033,1348233,1049458,810091,602365,434373,"42",12281054,12702379,0.083488925633671,0.0853348973880023,0.0913407622951706,0.092427100814192,0.0996808537610325,0.101037175987627,0.104833546411386,0.108882410901417,0.111892861222443,0.11347215390913,0.110549590834197,0.0826917166298169,0.083110007562088,0.0822476003153963,0.078174877184434,0.0749079732556764,0.0693735776632085,0.0631227168490631,0.0580374844732292,0.0523686368855958,0.0477731054930819,0.0436392965087799,0.0411419030774786
"40","Rhode Island",1003464,947154,946725,859488,791896,713346,687497,604397,542610,428556,345506,276531,217353,174620,147545,108830,97199,83059,76931,69122,68825,"44",1048319,1052567,0.00548598418101458,0.00550977003841603,0.00563698606458245,0.00555348463350929,0.00636192604686227,0.006377996165232,0.00755783004691346,0.00861746174412014,0.0106260033832048,0.0130210457488514,0.0175162258914887,0.00562319654782685,0.00588332265550552,0.00570070022659641,0.00558021394089788,0.00539740722795381,0.00523305352072222,0.00479295551174576,0.00465880629466599,0.00418084987272221,0.0040346769828474,0.0037250795963268,0.00340917315540282
"41","South Carolina",3486703,3121820,2590516,2382594,2117027,1899804,1738765,1683724,1515400,1340316,1151149,995577,705606,703708,668507,594398,581185,502741,415115,345591,249073,"45",4012012,4625364,0.0182780768032704,0.0198364752072502,0.0182996838740931,0.0223802059585245,0.02882505063411,0.0348347713371458,0.0451907679689647,0.0521599264944281,0.0573372683888036,0.0651016495673058,0.0633900316959066,0.0175866404955177,0.0164309304143917,0.0158809619973723,0.0141130516830551,0.0143745333138415,0.0139898617947483,0.0132865927674992,0.0127478541785978,0.0137800830167656,0.014019157976893,0.0142562178510723,0.0149811525373364
"42","South Dakota",696004,690768,665507,680514,652740,642961,692849,636547,583888,401570,348600,98268,11776,4837,NA,NA,NA,NA,NA,NA,NA,"46",754844,814180,0.00553511107043491,0.00195795076188589,0.000305407093053801,0.000153832351232874,NA,NA,NA,NA,NA,NA,NA,0.0052691061091452,0.00633088497941027,0.00600394050125872,0.00562365457411037,0.00486485148678539,0.00431347469253062,0.0037949026945346,0.00327494066465371,0.00304913171974206,0.00279845746212093,0.00268225032915526,0.00263705835321254
"43","Tennessee",4877185,4591120,3923687,3567089,3291718,2915841,2616556,2337885,2184789,2020616,1767518,1542359,1258520,1109801,1002717,829210,681904,422823,261727,105602,35691,"47",5689283,6346105,0.0280648549885054,0.0307308887852765,0.0326393456819013,0.0352952857619588,0.0432357002943617,0.0485959588364608,0.053022300026857,0.0438683469224781,0.0361507323117604,0.019893065495359,0.00908349608853068,0.0265130366059131,0.0236888716042816,0.0220510385545533,0.0212378268826482,0.0220621988333348,0.0217525236509904,0.0198919576345891,0.0193083500424084,0.0202657471410693,0.0196099372379962,0.0202162052018793,0.0205544832845487
"44","Texas",16986510,14229191,11196730,9579677,7711194,6414824,5824715,4663228,3896542,3048710,2235527,1591749,818579,604215,212592,NA,NA,NA,NA,NA,NA,"48",20851820,25145561,0.0354959559551237,0.03171496486426,0.0212296053689613,0.019216004568983,0.00916665818668572,NA,NA,NA,NA,NA,NA,0.0400029297158952,0.0422487861018573,0.0439837803898278,0.0472775238942963,0.048536639195638,0.050957563759221,0.0534212992827056,0.0550987839168455,0.0628093334149357,0.0682984949294715,0.0740945162954017,0.0814442895689718
"45","Utah",1722850,1461037,1059273,890627,688862,550310,507847,449396,373351,276749,210779,143963,86336,40273,11380,NA,NA,NA,NA,NA,NA,"49",2233169,2763885,0.00334677331128858,0.00286840543751148,0.00223909874200858,0.00128081254521429,0.000490689067154378,NA,NA,NA,NA,NA,NA,0.0036312967766512,0.00404810894888712,0.0042387236849811,0.0041220469460131,0.00416382396707245,0.00455217820823915,0.00496660289446693,0.00521265174170929,0.00644919026419403,0.00692714760061013,0.00793530621599869,0.00895198362348479
"46","Vermont",562758,511456,444330,389881,377747,359231,359611,352428,355956,343641,332422,332286,330551,315098,314120,291948,280652,235981,217895,154465,85425,"50",608827,625741,0.00527823491754479,0.00662066620735146,0.00857274286820883,0.0100211424868257,0.0135443980469713,0.017109650137344,0.0218224479503529,0.0244832858551056,0.0300964891550013,0.0290977667254468,0.0217409894192579,0.00450900438890546,0.0038595012977334,0.00332411706123445,0.00291885828665467,0.00271805827172939,0.00249624984630843,0.00217418077724756,0.00218653505601832,0.00225762732618245,0.00226270872648469,0.00216339590849051,0.0020267207877835
"47","Virginia",6187358,5346818,4648494,3966949,3318680,2677773,2421851,2309187,2061612,1854184,1655980,1512565,1225163,1219630,1119348,1025227,1044054,938261,877683,807557,691737,"51",7078515,8001024,0.0262938417395835,0.0301372552016112,0.0317742417074622,0.0387882056097064,0.0482646595730332,0.0600835603647185,0.081181727093902,0.0973456010004925,0.121228926276551,0.152125757961361,0.176049713759546,0.0243292383441972,0.0223533082443413,0.021780357702228,0.0196574628150777,0.0202608991219122,0.0219306955182883,0.0221217865454368,0.0228751042889087,0.0236014875667197,0.02487781415899,0.0251526794790452,0.0259146222867843
"48","Washington",4866692,4132156,3409169,2853214,2378963,1736191,1563396,1356621,1141990,518103,357232,75116,23955,11594,1201,NA,NA,NA,NA,NA,NA,"53",5894121,6724540,0.00567217096360758,0.00149665638284915,0.000621265872461261,0.000368726954764098,5.17853751891395e-05,NA,NA,NA,NA,NA,NA,0.00679816640303422,0.0123821817499876,0.0127957114977497,0.0126896323247141,0.0131365842837955,0.0157208026089511,0.0159110165208708,0.0167764218720116,0.0182398257164815,0.0195677475176066,0.0209440732023185,0.0217802014032669
"49","West Virginia",1793477,1949644,1744237,1860421,2005552,1901974,1729205,1463701,1221119,958800,762794,618457,442014,376688,302313,224537,176924,136808,105469,78592,55873,"54",1808344,1852994,0.0121117312503193,0.0123225094063547,0.0114635029576327,0.0119799050488337,0.0130352973601618,0.0131590198010907,0.0137569473268255,0.0141939790545225,0.0145677808792714,0.0148049828924761,0.0142198923245209,0.0125806682208542,0.0132401486846321,0.0138056949693155,0.0140354559331464,0.0143909522377363,0.0132532061717593,0.0103746824692347,0.00858333973961745,0.00860595939968961,0.00721112104785643,0.00642574000618132,0.00600168673530757
"50","Wisconsin",4891769,4705767,4417731,3951777,3434575,3137587,2939006,2632067,2333860,2069042,1693330,1315497,1054670,775881,305391,30945,3635,1444,NA,NA,NA,"55",5363675,5686986,0.0268868893542729,0.026210753789724,0.0273525559469304,0.0246755423830708,0.0131680162484484,0.00181353571012684,0.000282643980087557,0.00014981657326129,NA,NA,NA,0.0271484469514107,0.0253051941777301,0.0248257766721492,0.0238550601000187,0.0237400009983008,0.022696559644113,0.0220371795223902,0.0217395262520173,0.0207718125700893,0.0196685758429863,0.0190591950578289,0.0184196540518101
"51","Wyoming",453588,469557,332416,330066,290529,250742,225565,194402,145965,92531,62555,20789,9118,NA,NA,NA,NA,NA,NA,NA,NA,"56",493782,563626,0.000993255516382833,0.000414212545170816,0.000236472645589722,NA,NA,NA,NA,NA,NA,NA,NA,0.00121412370790974,0.0015826453464014,0.00183360858086787,0.00183084574562308,0.00189719530655754,0.00191989075121216,0.00184062099056633,0.00163580950460555,0.00207268018050478,0.00182376354637116,0.00175459688628504,0.00182553569405754
